hash,	issueid
8b086ba,	GATEWAY-3314
bd9da1c,	GATEWAY-3143
42b1110,	GATEWAY-3314
537f572,	GATEWAY-3357
0330e05,	GATEWAY-3312
cc91dfc,	GATEWAY-3312
0f97d66,	GATEWAY-3378
d17297d,	GATEWAY-3250
393b5d9,	CONN-29
2c935af,	GATEWAY-3303
317328a,	GATEWAY-3303
a41b7cc,	GATEWAY-3367
ae52a47,	GATEWAY-3367
828a072,	GATEWAY-3367
eaf5cdc,	GATEWAY-3378
41ee0fd,	GATEWAY-3253
f689a1d,	GATEWAY-3253
4735f8f,	GATEWAY-3391
14268f5,	GATEWAY-3391
70be2cf,	GATEWAY-3378
e9ce8aa,	GATEWAY-3378
7607cc2,	GATEWAY-3378
0f1e1a8,	GATEWAY-3314, GATEWAY-3312
645ab59,	GATEWAY-3385
538b5fc,	GATEWAY-3180, GATEWAY-3371
cc60c17,	GATEWAY-3382
05c927f,	GATEWAY-3381
aa0a2f7,	GATEWAY-3381
ecc8bb9,	GATEWAY-3381
0dd6452,	GATEWAY-3383
b3eae8f,	GATEWAY-3383
fbc01f9,	GATEWAY-3385
fc471fa,	GATEWAY-3387
b992646,	GATEWAY-3387
2d7f1f7,	GATEWAY-3391
ffa8160,	GATEWAY-3385
8576240,	GATEWAY-3386
4ebaf36,	GATEWAY-3398, GATEWAY-3385
17404f1,	GATEWAY-3385
692711d,	GATEWAY-3385
88d089b,	GATEWAY-3385
0e13a84,	GATEWAY-3385
d4b1e5f,	GATEWAY-3385
69dbf96,	GATEWAY-3387
0f287ba,	GATEWAY-3403
0c15110,	GATEWAY-3403
9a8b262,	GATEWAY-3342
d1f2ae7,	GATEWAY-3377
1f0874f,	GATEWAY-3342
7073a6f,	GATEWAY-3377
e872552,	GATEWAY-3364
b725e81,	GATEWAY-3405
8002a81,	GATEWAY-3364
58f7fb5,	GATEWAY-3364
a5b1431,	GATEWAY-3404
ae45567,	GATEWAY-3438
6b06006,	GATEWAY-3435
0009d19,	GATEWAY-3371
0c657cb,	GATEWAY-3435
a263baa,	GATEWAY-3435
dd42764,	GATEWAY-3435
e8ea459,	GATEWAY-3423
06b40fe,	GATEWAY-3371
5e65f5b,	GATEWAY-3423
efe8436,	GATEWAY-3413
ec5601e,	GATEWAY-3413
fe3fe7d,	GATEWAY-3413
ae2f353,	GATEWAY-3413
5c187f4,	GATEWAY-3413
8c5af35,	GATEWAY-3447
d4db10d,	GATEWAY-3447
36ec447,	GATEWAY-3447
5b91273,	GATEWAY-3437
d1b828a,	GATEWAY-3437
b3ea424,	GATEWAY-3361
8a52b57,	GATEWAY-3443
25a636a,	GATEWAY-3443
94144c1,	GATEWAY-3443
af5969d,	None
e887562,	None
fe29d76,	None
d53fe25,	GATEWAY-3361
c5473f1,	None
df415bc,	None
817862d,	GATEWAY-3361
19eb823,	None
d4c18b0,	None
f77bd83,	None
c4a5b83,	None
d33c77e,	None
45d76f7,	None
75d0cc3,	None
0f18c09,	None
8186d3c,	None
c403552,	CONN-29
6c27f64,	CONN-29
2717ebc,	CONN-63
a981026,	GATEWAY-3484
c5b8f12,	None
32fbac7,	CONN-172
a253af8,	CONN-167
5aa2311,	CONN-172
ec4713f,	CONN-168
