hash,	issueid
a8a2c51,	HBASE-15763
809ed32,	HBASE-15760
29eb3e8,	HBASE-15613
0bf065a,	HBASE-15768
0d25291,	HBASE-15743
c0ce47d,	HBASE-15755
efcf94d,	HBASE-15563
8b0ce77,	HBASE-15292
b7ce55f,	HBASE-15575
86ca09e,	HBASE-13707, HBASE-15773
c716a75,	HBASE-15767
532b914,	HBASE-15759
48b77db,	HBASE-11625
bec81b1,	HBASE-15608
34e9a6f,	HBASE-15669
387c7e6,	HBASE-15782
d90f057,	HBASE-15781
513ca34,	HBASE-15776
fa033b6,	HBASE-15793
99e2deb,	HBASE-15778
ac31ceb,	HBASE-15794
e71ae60,	HBASE-15795
9ee0cbb,	HBASE-15796
541d1da,	HBASE-15791
9d17e3d,	HBASE-15797
a11091c,	HBASE-15798
224b03b,	HBASE-15801
97ad33c,	HBASE-15609
05378cb,	HBASE-15609
b75b226,	HBASE-15740
2eced6f,	HBASE-15807
8604f9e,	HBASE-15415
3b74b6f,	HBASE-15799
4b7933b,	HBASE-14813
60e19f6,	HBASE-13532
1267f76,	HBASE-15813
c9ebcd4,	HBASE-15785
f3fee82,	HBASE-15812
c867858,	HBASE-15812
0e281e1,	HBASE-15725
6904430,	HBASE-15811
acca95f,	HBASE-15808
b353e38,	HBASE-15333
e0aff10,	HBASE-15780
c12eaa5,	HBASE-15725
c47511b,	HBASE-15828
2482062,	HBASE-15615
c3223a5,	HBASE-15824
a27504c,	HBASE-14920
084b036,	HBASE-15825
00e61d2,	HBASE-15842
9269b81,	HBASE-15840
838c306,	HBASE-15769
1dff18e,	HBASE-15667
e47bfb9,	HBASE-15593
2c22e20,	HBASE-15848
98fa263,	HBASE-15834
b3362cc,	HBASE-15471
b2b3b1f,	HBASE-15593
3bd9220,	HBASE-15593
7b5d539,	HBASE-15784
8aa8abf,	HBASE-15850
c1ada0a,	HBASE-15824
393bcd6,	HBASE-15841
5ac54e6,	HBASE-15843
a050e1d,	HBASE-15847
4793988,	HBASE-15856
babdedc,	HBASE-15958
21e9827,	HBASE-15883
af5146e,	HBASE-15465
7a84ee2,	HBASE-15864
d34f5d4,	HBASE-15865
58798fc,	HBASE-15529
8dc0ae6,	HBASE-15863
2bb07e2,	HBASE-15529
